id;cname;cpath;clogourl;title;path;tags;detailtags;ctype;cindustry;csize;jexperience;jtype;jsubtype;jlocation;jcontract;jremote;jsalary
126;Agricool;/company/agricool-784;https://api.azertyjobs.com/companies/784/logo.jpg?1y6SS;Community Builder;/job/community-builder-agricool-stage-la-courneuve;"[""STAGE"", ""Marketing / Communication""]";"[""139 rue rateau 93120 La Courneuve""]";startup;food;< 10 employés;0;Marketing & communication;réseaux sociaux;La Courneuve;cdi;non;33000;
174;ALTERFOOD;/company/alterfood-1257;https://api.azertyjobs.com/companies/1257/logo.png;Responsable des opÌ©rations junior;/job/responsable-des-operations-junior-cdi-alterfood-cdi-paris;"[""CDI"", ""Support""]";"[""Place de la madeleine 75009 PARIS""]";startup;food;10-19 employés;1;Autre;tbd;Paris;cdi;non;36000;
128;ALTERFOOD;/company/alterfood-1257;https://api.azertyjobs.com/companies/1257/logo.png; Assistant(e) commercial grands comptes & export;/job/assistant-charge-de-developpement-commerce-international-stage-alterfood-stage-paris;"[""STAGE"", ""Business Development / Sales""]";"[""Place de la madeleine 75009 PARIS""]";startup;food;10-19 employés;0;Bizdev / sales;tbd;Paris;stage;non;18000;
180;AskHub.io;/company/askhubio-3252;https://api.azertyjobs.com/companies/3252/logo.png?LwOmH;Lead Developer;/job/lead-developer-askhubio-cdi-paris;"[""CDI"", ""IT & Dev""]";"[""9 rue Dareau 75014 Paris""]";startup;services b2b;< 10 employés;3;IT & dev;tbd;Paris;cdi;oui;40000;
154;BAM Karaoke Box;/company/bam-karaoke-box-2015;https://api.azertyjobs.com/companies/2015/logo.png;Bizdev;/job/stagiaire-bizdev-bam-karaoke-box-cdi-paris;"[""Stage"", ""Business Development / Sales""]";"[""40 avenue de la RÌ©publique 75011 Paris""]";startup;autres;10-19 employés;0;Bizdev / sales;tbd;Paris;stage;non;20000;
163;BIOMODEX;/company/biomodex-854;https://api.azertyjobs.com/companies/854/logo.png;Bras Droit COO;/job/stage-bras-droit-coo-biomodex-stage-paris;"[""STAGE"", ""Autre""]";"[""Rue de la Roquette 75011 Paris""]";startup;autres;50-200 employés;0;Autre;tbd;Paris;stage;non;15000;
148;Bolden;/company/bolden-1147;https://api.azertyjobs.com/companies/1147/logo.png;Business Developer - FinTech;/job/business-developer-fintech-cdi-bolden-cdi-paris;"[""CDI"", ""Business Development / Sales""]";"[""9 Rue Christophe Colomb 75008 Paris""]";startup;finance;50-200 employés;4;Bizdev / sales;tbd;Paris;cdi;non;41000;
149;Bolden;/company/bolden-1147;https://api.azertyjobs.com/companies/1147/logo.png;Chef de Projet Marketing Development;/job/chef-de-projet-marketing-development-fintech-stage-bolden-stage-paris;"[""STAGE"", ""Marketing / Communication""]";"[""9 Rue Christophe Colomb 75008 Paris""]";startup;finance;50-200 employés;2;Marketing & communication;opérationnel;Paris;cdi;non;40000;
150;Bolden;/company/bolden-1147;https://api.azertyjobs.com/companies/1147/logo.png;Analyste CrÌ©dit Ì_Ì_Ì± FinTech;/job/analyste-credit-fintech-bolden-stage-paris;"[""STAGE"", ""Autre""]";"[""9 Rue Christophe Colomb 75008 Paris""]";startup;finance;50-200 employés;0;Autre;tbd;Paris;stage;non;15000;
164;Bolden;/company/bolden-1147;https://api.azertyjobs.com/companies/1147/logo.png;Data Engineer Ì_Ì_Ì± FinTech;/job/data-engineer-fintech-hf-bolden-cdi-paris;"[""CDI"", ""IT & Dev""]";"[""9 Rue Christophe Colomb 75008 Paris""]";startup;finance;50-200 employés;4;IT & dev;tbd;Paris;cdi;non;38000;
165;Bolden;/company/bolden-1147;https://api.azertyjobs.com/companies/1147/logo.png;Front End Developer Ì_Ì_Ì± FinTech;/job/front-end-developer-fintech-hf-bolden-cdi-paris;"[""CDI"", ""IT & Dev""]";"[""9 Rue Christophe Colomb 75008 Paris""]";startup;finance;50-200 employés;2;IT & dev;tbd;Paris;cdi;oui;38000;
170;Citygoo;/company/citygoo-2141;https://api.azertyjobs.com/companies/2141/logo_58cd07ee2cd83a96e6473babd0df8b84.jpg;Marketing mobile et communication digitale;/job/stage-marketing-mobile-et-communication-digitale-citygoo-stage-issy-les-moulineaux;"[""STAGE"", ""Marketing / Communication""]";"[""boulevard Gambetta 92130 Issy-les-Moulineaux""]";startup;mobilité;20-49 employés;1;Marketing & communication;communication;Issy-les-Moulineaux;cdi;non;37000;
156;Clickandboat;/company/clickandboat-1989;https://azertyjobs.com/app/uploads/2017/04/azertyjobs_logo-carreí-texte-1024x1024.png;Resp. Communication / Community Management;/job/resp-communication-community-management-clickandboat-stage-paris-hf-5;"[""Stage"", ""Marketing / Communication""]";"[""PÌ©niche West River, face au 10 quai du 4 septembre 92100 Boulogne-Billancourt""]";startup;mobilité;20-49 employés;3;Marketing & communication;réseaux sociaux;Boulogne Billancourt;cdi;non;44000;
171;Clickandboat;/company/clickandboat-1989;https://azertyjobs.com/app/uploads/2017/04/azertyjobs_logo-carreí-texte-1024x1024.png;Webmarketing SEO / SEA;/job/webmarketing-seo-sea-stage-clickandboat-stage-boulogne-billancourt;"[""STAGE"", ""Marketing / Communication""]";"[""PÌ©niche West River, face au 10 quai du 4 septembre 92100 Boulogne-Billancourt""]";startup;mobilité;20-49 employés;1;Marketing & communication;seo/sea;Boulogne-Billancourt;cdi;non;36000;
178;ComExplorer;/company/comexplorer-2034;https://api.azertyjobs.com/companies/2034/logo.png?4mvYJ;Assistant(e) Responsable Marketing;/job/charge-inbound-marketing-stage-comexplorer-stage-paris;"[""STAGE"", ""Marketing / Communication""]";"[""Boulevard de Magenta 75010 Paris"", ""10 employÌ©s"", ""29 ans""]";agence;tech;20-49 employés;0;Marketing & communication;opérationnel;Paris;stage;non;15000;
181;CozyCloud;/company/cozycloud-304;https://api.azertyjobs.com/companies/304/logo.png;Front Developers Positions;/job/front-developers-positions-cozycloud-cdi-paris;"[""CDI"", ""IT & Dev""]";"[""27 Rue de Mogador 75009 Paris"", ""30 employÌ©s"", ""5 M dÌ_Ì_åÈÌ_åäÌ´ levÌ©s""]";startup;mobilité;10-19 employés;2;IT & dev;tbd;Paris;cdi;non;39000;
133;Culinaries Media;/company/culinaries-media-3294;https://api.azertyjobs.com/companies/3294/logo.png?ummd9;Community Manager & Content;/job/community-manager-content-stage-de-6-mois-culinaries-media-stage-paris;"[""STAGE"", ""Marketing / Communication""]";"[""29 rue des 3 bornes 75011 Paris""]";startup;food;20-49 employés;0;Marketing & communication;réseaux sociaux;Paris;stage;non;15000;
132;Culinaries Media;/company/culinaries-media-3294;https://api.azertyjobs.com/companies/3294/logo.png?ummd9;Responsable des OpÌ©rations et Service Client;/job/responsable-des-operations-et-service-client-stage-de-6-mois-culinaries-media-stage-paris;"[""STAGE"", ""Business Development / Sales""]";"[""29 rue des 3 bornes 75011 Paris""]";startup;food;20-49 employés;0;Bizdev / sales;tbd;Paris;stage;non;15000;
138;DAD;/company/dad-171;https://api.azertyjobs.com/companies/171/logo.png;Chef de Projet;/job/stage-chef-de-projet-dad-stage-paris;"[""STAGE"", ""Marketing / Communication""]";"[""80 rue des Tournelles 75003 Paris"", ""6 employÌ©s"", ""25 ans"", ""70% d'hommes"", ""30% de femmes""]";agence;services b2b;20-49 employés;2;Marketing & communication;opérationnel;Paris;cdi;non;32000;
131;Destygo;/company/destygo-44;https://api.azertyjobs.com/companies/44/logo.png;UX Designer;/job/ux-designer-destygo-stage-paris;"[""STAGE"", ""Design & UX-UI""]";"[""Rue de Bercy 75012 Paris""]";startup;autres;10-19 employés;0;Marketing & communication;ux;Paris;stage;non;18000;
123;DIGITOOLS IO;/company/digitools-io-264;https://api.azertyjobs.com/companies/264/logo.png;Social media manager / Community Manager;/job/social-media-manager-community-manager-digitools-io-stage-paris;"[""STAGE"", ""Marketing / Communication""]";"[""5 villa du clos de malevart  75011 Paris"", ""26 ans""]";startup;tech;< 10 employés;3;Marketing & communication;réseaux sociaux;Paris;cdi;non;37000;
158;EDCOM;/company/edcom-3282;https://api.azertyjobs.com/companies/3282/logo.png?r1BCP;DÌ©veloppeur web PHP/MySQL;/job/developpeur-web-phpmysql-hf-edcom-cdi-rennes;"[""CDI"", ""IT & Dev""]";"[""2 rue micheline Ostermeyer 35000 Rennes"", ""8 employÌ©s"", ""36 ans"", ""40% d'hommes"", ""60% de femmes""]";agence;autres;< 10 employés;2;IT & dev;tbd;Rennes;cdi;oui;41000;
160;eskis;/company/eskis-3280;https://api.azertyjobs.com/companies/3280/logo.png?7XAlQ;Social Media Manager;/job/social-media-manager-eskis-stage-annecy;"[""STAGE"", ""Marketing / Communication""]";"[""178 route de Cran Gevrier 74650 Annecy"", ""4 employÌ©s"", ""26 ans"", ""75% d'hommes"", ""25% de femmes""]";startup;retail;< 10 employés;0;Marketing & communication;réseaux sociaux;Annecy;stage;non;15000;
142;Ferpection;/company/ferpection-2624;https://api.azertyjobs.com/companies/2624/logo.png;Community Success Manager;/job/community-success-manager-ferpection-stage-paris-4;"[""STAGE"", ""Marketing / Communication""]";"[""55 Rue La BoÌ©tie 75008 Paris"", ""15 employÌ©s"", ""30 ans"", ""50% d'hommes"", ""50% de femmes""]";startup;services b2b;< 10 employés;0;Marketing & communication;réseaux sociaux;Paris;stage;non;20000;
146;Firebnb;/company/firebnb-1021;https://api.azertyjobs.com/companies/1021/logo.png; Bras Droit du CEO;/job/annonce-stage-cesure-bras-droit-du-ceo-firebnb-stage-paris;"[""STAGE"", ""Autre""]";"[""Avenue de la RÌ©publique 75011 Paris""]";startup;mobilité;20-49 employés;0;Autre;tbd;Paris;stage;non;18000;
173;GrowDC;/company/growdc-3276;https://api.azertyjobs.com/companies/3276/logo_f36d8c72022afd398c9094e860732313.png;DÌ©veloppeur Front End;/job/developpeur-front-end-growdc-stage-montreuil;"[""STAGE"", ""IT & Dev""]";"[""71 rue Robespierre 93100 Montreuil""]";agence;autres;20-49 employés;0;IT & dev;tbd;Montreuil;stage;non;15000;
145;Ignition Program;/company/ignition-program-2887;https://api.azertyjobs.com/companies/2887/logo.png?JFE6Y;Bras droit CEO (marketing digital ou business development) @580 startups possibles;/job/bras-droit-ceo-marketing-digital-ou-business-development-at580-startups-possibles-ignition-program-cdi-paris-1;"[""CDI"", ""Marketing / Communication""]";"[""37 Rue de Ponthieu 75008 Paris""]";startup;tech;20-49 employés;2;Marketing & communication;stratégie;Paris;cdi;non;45000;
